Date,,Road,efficiency
2014/7/31,, 立功路,0.483870968
2014/8/1,, 立功路,0.288306452
2014/8/2,, 立功路,0.177419355
2014/8/4,, 立功路,0.29233871
2014/8/5,, 立功路,0.260080645
2014/8/6,, 立功路,0.560483871
2014/8/7,, 立功路,0.272177419
2014/8/8,, 立功路,0.235887097
2014/8/9,, 立功路,0.155241935
2014/8/11,, 立功路,0.612903226
2014/8/12,, 立功路,0.346774194
2014/8/13,, 立功路,0.326612903
2014/8/14,, 立功路,0.649193548
2014/8/15,, 立功路,0.314516129
2014/8/16,, 立功路,0.137096774
2014/8/18,, 立功路,0.338709677
2014/8/19,, 立功路,0.171370968
2014/8/20,, 立功路,0.540322581
2014/8/21,, 立功路,0.443548387
2014/8/22,, 立功路,0.713709677
2014/8/23,, 立功路,0.072580645
2014/8/25,, 立功路,0.22983871
2014/8/26,, 立功路,0.3125
2014/8/27,, 立功路,0.322580645
2014/8/28,, 立功路,0.22983871
2014/8/29,, 立功路,0.45766129
2014/8/30,, 立功路,0.131048387
2014/9/1,, 立功路,0.205645161
2014/9/2,, 立功路,0.467741935
2014/9/3,, 立功路,0.556451613
2014/9/4,, 立功路,0.657258065
2014/9/5,, 立功路,0.330645161
2014/9/9,, 立功路,0.637096774
2014/9/10,, 立功路,0.705645161
2014/9/11,, 立功路,0.176075269
2014/9/12,, 立功路,0.184139785
2014/9/13,, 立功路,0.203629032
2014/9/15,, 立功路,0.524193548
2014/9/16,, 立功路,0.463709677
2014/9/17,, 立功路,0.262096774
2014/9/18,, 立功路,0.536290323
2014/9/19,, 立功路,0.268145161
2014/9/20,, 立功路,0.173387097
2014/9/22,, 立功路,0.721774194
2014/9/23,, 立功路,0.532258065
2014/9/24,, 立功路,0.657258065
2014/9/25,, 立功路,0.310483871
2014/9/26,, 立功路,0.629032258
2014/9/27,, 立功路,0.129032258
2014/9/29,, 立功路,0.29233871
2014/9/30,, 立功路,0.346774194
2014/10/1,, 立功路,0.483870968
2014/10/2,, 立功路,0.475806452
