road,efficiency
敬業二路,56.6
興安街Y00,54.5
松江路188巷(中吉公園周邊),47
林森北路310巷,45.1
大直街,45
明水路606巷,41.2
新生北路三段Z00,41.5
撫順街,40.6
南京東路3段89巷5弄,40
基湖路166巷,40.3
