road,efficiency
中華路二段416巷,82.70 
萬青街,35.57 
峨嵋街B,32.17 
成都路B,32.15 
忠孝西路二段,28.16 
南寧路,25.53 
環河南路二段B,25.40 
昆明街A,25.29 
康定路,25.18 
成都路A,25.00 
