road,efficiency
新光路1段,54.60059524
景文街,41.79166667
汀州路四段23巷,39.41953317
新光路二段B,38.57579447
景興路282巷,26.37026043
木柵路一段,25.41689714
指南路2段,25.33125
樟新街,23.35763889
三福街4巷,22.23214286
秀明路2段,18.2082662
