road,efficiency
玉成街,37.18 
興東街,35.37 
向陽路,27.81 
中坡北路,26.42 
昆陽街,26.32 
富康街1巷16弄,24.13 
經貿二路62巷,23.80 
昆陽街157巷,22.56 
南港路一段287巷2弄,20.99 
新民街,20.38 
