road,efficiency
敬業二路,55.60 
興安街Y00,54.31 
松江路188巷(中吉公園周邊),47.07 
林森北路310巷,44.92 
大直街,44.60 
明水路606巷,40.92 
新生北路三段Z00,40.52 
撫順街,40.44 
南京東路3段89巷5弄,39.74 
基湖路166巷,39.69 
