road,efficiency
忠孝東路五段372巷28弄,193.10 
忠孝東路五段236巷45弄,45.22 
松山路B,44.31 
莊敬路239巷,39.20 
信義路五段91巷(含12弄及15弄),36.47 
松隆路C,35.42 
黎富公園周邊,33.70 
崇德街,33.25 
松德路180巷,32.80 
基隆路一段172巷,32.10 
林口街,30.75 
