road ,efficiency
民生東路5段69巷3弄,93.06 
民生東路5段69巷4弄,92.77 
富錦街429巷,79.83 
民生東路5段137巷,77.08 
富錦街359巷3弄,76.30 
民生東路5段69巷2弄,66.67 
民生東路5段69巷1弄,66.15 
南京東路4段120巷,60.38 
延壽街330巷7弄,59.37 
民生東路5段137巷6弄,51.65 
