road ,efficiency
承德路二段91巷,40.52 
承德路三段283巷,36.30 
重慶北路一段,35.19 
重慶北路3段223巷,35.17 
南京西路344巷,33.41 
民權西路,32.96 
南京西路A,30.53 
承德路二段75巷,29.96 
重慶南路一段126巷,29.51 
敦煌路平面停車場,28.95 
