road,efficiency
立功路,41.63 
北投磺港溪廣場,34.71 
立德路,30.23 
振興街,23.53 
天母西路130巷,22.99 
裕民一路,22.51 
裕民二路33巷,16.73 
明德路,14.98 
裕民六路,14.25 
裕民二路49巷,14.15 
