road ,efficiency
和平東路二段,99.24 
和平東路二段90巷,53.72 
忠孝東路三段251巷,50.00 
仁愛路四段B,40.02 
安祥平面停車場,39.09 
信義路四段199巷,37.75 
樂業街,37.56 
八德路二段臨時平面,37.15 
安東街,36.18 
安和路二段74巷,34.93 
